file,B,res_freqs,popt,perr,sat,Eb,e_Eb,sigma
2023-09-22_G,202.1,47.21587549100391,[-4.58926674e+03  4.32236291e+01  2.79964807e-02  9.23008203e+03],[2.09682006e+03 5.02663434e-03 8.28979685e-03 6.74304453e+01],1.0,-3.99224642644927,0.00502663433985025,0.02799648074625325
2023-09-22_H,202.1,47.21587549100391,[-2.95831260e+03  4.32192061e+01  3.54945340e-02  8.40378645e+03],[1.67785222e+02 2.25984775e-03 2.44824245e-03 5.55655996e+01],1.0,-3.996669390380198,0.002259847754980118,0.03549453404314026
2023-09-22_P,202.1,47.21587549100391,[-1.20210849e+03  4.32164187e+01  1.98980560e-02  9.42539841e+03],[1.09611806e+02 2.61234677e-03 2.95974295e-03 4.65526965e+01],0.0,-3.99945675216199,0.002612346767207783,0.01989805596412204
2023-09-26_D,203.1,47.38544327512852,[-6.76320917e+03  4.35114204e+01  2.07817384e-02  1.23353524e+04],[4.74380204e+02 1.67465373e-03 1.69845377e-03 6.09309567e+01],1.0,-3.874022897175863,0.001674653731726768,0.02078173838654261
2023-09-28_J,202.4,47.26679806439956,[-4.25685506e+03  4.33039539e+01  1.96039894e-02  1.37477189e+04],[2.62898269e+02 1.73098521e-03 2.09899755e-03 1.19997990e+02],1.0,-3.96284420982272,0.00173098521088754,0.01960398935274722
2023-09-28_K,201.8,47.16490807368607,[-4.80604477e+03  4.31383920e+01  1.85282248e-02  1.28414718e+04],[2.78040512e+02 2.45021767e-03 2.36338347e-03 1.64213305e+02],1.0,-4.026516053099151,0.002450217670901496,0.01852822475311423
2023-09-29_C,201.4,47.09688167814431,[-3.28923910e+03  4.30430944e+01  3.82776440e-02  1.38100176e+04],[3.64871253e+02 4.74611747e-03 5.20266173e-03 1.29497394e+02],1.0,-4.053787241737233,0.004746117474217369,0.03827764399802365
2023-09-29_E,201.0,47.02877536339025,[-3.40580786e+03  4.28837418e+01  1.20076014e-02  1.32129887e+04],[5.07820079e+02 1.95002519e-03 1.90724329e-03 1.27338486e+02],1.0,-4.145033536656669,0.001950025185299496,0.01200760141216274
2023-09-29_F,201.2,47.06283851770198,[-2.18949910e+03  4.29803524e+01  5.37037047e-02  1.37748695e+04],[3.13336856e+02 9.12244786e-03 1.11363997e-02 1.88492075e+02],0.0,-4.082486141531071,0.009122447855287066,0.05370370466812882
2023-10-12_B,201.2,47.06283851770198,[-1.60388081e+03  4.29840256e+01  5.93323811e-02  1.24694641e+04],[2.30310560e+02 9.43455727e-03 1.06804649e-02 1.05134493e+02],0.0,-4.078812935615751,0.009434557271612685,0.0593323811014039
2023-10-12_C,201.1,47.04580944065933,[-1.91915495e+03  4.29527785e+01  6.67202388e-02  1.27471842e+04],[2.92620180e+02 9.94367840e-03 1.33619726e-02 1.99928115e+02],0.0,-4.093030902709472,0.009943678395999866,0.06672023881945766
2023-10-16_B,201.6,47.130904858786,[-3.44957425e+03  4.30977045e+01  4.03388978e-02  1.12533128e+04],[2.16938842e+02 2.77821943e-03 3.19668258e-03 9.64396553e+01],1.0,-4.033200337074504,0.002778219431616447,0.0403388978363801
2023-10-16_C,202.0,47.19889133689509,[-4.10526621e+03  4.31964909e+01  3.29238538e-02  1.22519983e+04],[2.56092348e+02 2.27089064e-03 2.55953994e-03 1.04277542e+02],1.0,-4.002400479668502,0.002270890640412907,0.03292385378846673
2023-10-16_D,201.9,47.18190219837421,[-4.31120739e+03  4.31749655e+01  4.05779273e-02  1.25390985e+04],[2.92921611e+02 3.01011241e-03 3.48954665e-03 1.33736263e+02],1.0,-4.006936672526678,0.003010112410201248,0.04057792734250957
2024-10-30_B,209.0,48.37584451260281,[-5.01059816e+03  4.54449771e+01  9.26858114e-03  1.41817703e+04],[1.20044426e+03 2.58147320e-03 2.57979883e-03 2.08807541e+02],0.0,-2.930867363656915,0.002581473203614395,0.009268581144535055
2024-10-30_D,204.0,47.53762971088159,[-5.60023426e+03  4.37967868e+01  1.61179676e-02  1.38334848e+04],[6.56425381e+02 2.22140603e-03 2.17840233e-03 1.57089103e+02],1.0,-3.740842897517311,0.002221406025708456,0.01611796759862803
2024-11-01_F,207.0,48.04202953686556,[-5.56802102e+03  4.47742514e+01  1.21231693e-02  1.30246915e+04],[6.78519115e+02 1.64983466e-03 1.97619378e-03 1.70109696e+02],0.0,-3.267778119583546,0.001649834660871603,0.01212316928391451
2024-11-01_H,211.0,48.70771431229552,[-2.11333132e+04  4.61504397e+01 -5.09157776e-03  1.25586555e+04],[4.07710559e+09 4.40673451e+01 2.55139916e+02 5.57828032e+02],1.0,-2.557274612604438,44.06734509810767,0.00509157776005952
2025-03-27_E,203.1,47.38544327512852,[-4.40745861e+03  4.35249305e+01  1.21399963e-02  1.12655491e+04],[4.22042353e+02 1.32626052e-03 1.48655158e-03 1.13995186e+02],,-3.860512796374231,0.001326260519682623,0.01213999629015806
